"","event","event_size","datetime","actor"
"137","http://www.theguardian.com/football/2010/apr/28/the-fiver-champions-league#undergoEvent","21","2010-04-28","http://dbpedia.org/resource/Bobby_Zamora"
"138","http://www.newsreader-project.eu/LNdata/hackathon/2010/04/28/7YBG-P1V1-2S06-T0R3.xml#viewingEvent","20","2010-04-28","http://dbpedia.org/resource/Kaká"
"139","http://www.newsreader-project.eu/LNdata/hackathon/2010/04/28/7YBJ-7Y70-Y9B9-Y17P.xml#scoreEvent","7","2010-04-28","http://dbpedia.org/resource/Kaká"
"140","http://www.theguardian.com/football/2010/apr/28/the-fiver-champions-league#handEvent","27","2010-04-28","http://dbpedia.org/resource/Franck_Ribéry"
"141","http://www.theguardian.com/football/2010/apr/28/the-fiver-champions-league#planEvent","33","2010-04-28","http://dbpedia.org/resource/Franck_Ribéry"
"142","http://www.newsreader-project.eu/LNdata/hackathon/2010/04/28/7YBG-10X1-2R6N-X02J.xml#comfortEvent","8","2010-04-28","http://dbpedia.org/resource/Jimmy_Conrad"
"143","http://www.newsreader-project.eu/LNdata/hackathon/2010/04/28/7YCK-6231-2RM1-B0RM.xml#payEvent","7","2010-04-28","http://dbpedia.org/resource/Wayne_Rooney"
"144","http://www.newsreader-project.eu/LNdata/hackathon/2010/04/28/7YBG-10X1-2R6N-X02J.xml#clintEvent","7","2010-04-28","http://dbpedia.org/resource/Clint_Dempsey"
"145","http://www.newsreader-project.eu/LNdata/hackathon/2010/04/28/7YBF-CBF1-2RP6-W0C6.xml#leaveEvent","8","2010-04-28","http://dbpedia.org/resource/Cristiano_Ronaldo"
"146","http://www.newsreader-project.eu/LNdata/hackathon/2010/04/28/7YBG-10X1-2R6N-X02J.xml#openEvent","9","2010-04-28","http://dbpedia.org/resource/Fredy_Montero"
"148","http://www.newsreader-project.eu/LNdata/hackathon/2010/04/27/7YH6-3PG0-Y959-0075.xml#recoveryEvent","5","2010-04-27","http://dbpedia.org/resource/David_Beckham"
"149","http://www.newsreader-project.eu/LNdata/hackathon/2010/04/27/7YB6-X4R1-2RYX-1190.xml#adamantEvent","22","2010-04-27","http://dbpedia.org/resource/Nick_Carle"
"150","http://www.newsreader-project.eu/LNdata/hackathon/2010/04/27/7YB6-X4R1-2RYX-1190.xml#joinEvent","14","2010-04-27","http://dbpedia.org/resource/Nick_Carle"
"151","http://news.bbc.co.uk/sport2/hi/football/world_cup_2010/8643139.stm#clashEvent","16","2010-04-27","http://dbpedia.org/resource/Salomon_Kalou"
"152","http://news.bbc.co.uk/sport2/hi/football/world_cup_2010/8643139.stm#joinEvent","14","2010-04-27","http://dbpedia.org/resource/Asmir_Begović"
"153","http://news.bbc.co.uk/sport2/hi/football/world_cup_2010/8643139.stm#placeEvent","18","2010-04-27","http://dbpedia.org/resource/Kasper_Schmeichel"
"154","http://news.bbc.co.uk/sport2/hi/football/world_cup_2010/8643139.stm#squadEvent","10","2010-04-27","http://dbpedia.org/resource/Kasper_Schmeichel"
"155","http://www.newsreader-project.eu/LNdata/hackathon/2010/04/27/7YB6-XHW1-2R6W-V16S.xml#makeEvent","990","2010-04-27","http://dbpedia.org/resource/Pelé"
"156","http://www.newsreader-project.eu/LNdata/hackathon/2010/04/27/7YH6-3PG0-Y959-0075.xml#surgeryEvent","7","2010-04-27","http://dbpedia.org/resource/David_Beckham"
"157","http://www.newsreader-project.eu/LNdata/hackathon/2010/04/27/7YB6-X4R1-2RYX-1190.xml#signEvent","16","2010-04-27","http://dbpedia.org/resource/Nick_Carle"
"158","http://news.bbc.co.uk/sport2/hi/football/world_cup_2010/8643139.stm#slideEvent","16","2010-04-27","http://dbpedia.org/resource/Salomon_Kalou"
"159","http://www.newsreader-project.eu/LNdata/hackathon/2010/04/28/7YBF-C8G0-Y9M7-V1WS.xml#askEvent","9","2010-04-28","http://dbpedia.org/resource/Roger_Johnson_(footballer)"
"160","http://www.newsreader-project.eu/LNdata/hackathon/2010/04/28/7YBF-C8G0-Y9M7-V1WS.xml#explainEvent","6","2010-04-28","http://dbpedia.org/resource/Roger_Johnson_(footballer)"
"161","http://www.newsreader-project.eu/LNdata/hackathon/2010/04/28/7YCK-6231-2RM1-B0RM.xml#seeEvent","9","2010-04-28","http://dbpedia.org/resource/Wayne_Rooney"
"162","http://www.newsreader-project.eu/LNdata/hackathon/2010/04/28/7YBF-CBF1-2RP6-W0C6.xml#dependenceEvent","6","2010-04-28","http://dbpedia.org/resource/Cristiano_Ronaldo"
